language,parameter_id,parameter_name,value_number,value_name
Pame,81A,"Order of Subject, Object and Verb",2,SVO
Otomí (Mezquital),81A,"Order of Subject, Object and Verb",4,VOS
Otomí (Mezquital),85A,Order of Adposition and Noun Phrase,2,Prepositions
Ocuilteco,81A,"Order of Subject, Object and Verb",2,SVO
Ocuilteco,85A,Order of Adposition and Noun Phrase,2,Prepositions
Mixtec (Atatlahuca),85A,Order of Adposition and Noun Phrase,2,Prepositions
Mixtec (Chalcatongo),81A,"Order of Subject, Object and Verb",3,VSO
Mixtec (Chalcatongo),85A,Order of Adposition and Noun Phrase,2,Prepositions
Mixtec (Jicaltepec),81A,"Order of Subject, Object and Verb",3,VSO
Mixtec (Jicaltepec),85A,Order of Adposition and Noun Phrase,2,Prepositions
Mixtec (Ocotepec),81A,"Order of Subject, Object and Verb",3,VSO
Mixtec (Ocotepec),85A,Order of Adposition and Noun Phrase,2,Prepositions
Mixtec (Peñoles),81A,"Order of Subject, Object and Verb",3,VSO
Mixtec (Peñoles),85A,Order of Adposition and Noun Phrase,2,Prepositions
Mazatec (Huautla),81A,"Order of Subject, Object and Verb",7,No dominant order
Mazatec (Huautla),85A,Order of Adposition and Noun Phrase,2,Prepositions
Chinantec (Comaltepec),81A,"Order of Subject, Object and Verb",3,VSO
Chinantec (Comaltepec),85A,Order of Adposition and Noun Phrase,2,Prepositions
Chinantec (Lealao),81A,"Order of Subject, Object and Verb",4,VOS
Chinantec (Lealao),85A,Order of Adposition and Noun Phrase,2,Prepositions
Chinantec (Palantla),81A,"Order of Subject, Object and Verb",3,VSO
Chinantec (Palantla),85A,Order of Adposition and Noun Phrase,2,Prepositions
Chinantec (Quiotepec),81A,"Order of Subject, Object and Verb",3,VSO
Chinantec (Quiotepec),85A,Order of Adposition and Noun Phrase,2,Prepositions
Chatino (Sierra Occidental),81A,"Order of Subject, Object and Verb",3,VSO
Chatino (Sierra Occidental),85A,Order of Adposition and Noun Phrase,2,Prepositions
Zapotec (Isthmus),81A,"Order of Subject, Object and Verb",3,VSO
Zapotec (Isthmus),85A,Order of Adposition and Noun Phrase,2,Prepositions
Zapotec (Mitla),81A,"Order of Subject, Object and Verb",3,VSO
Zapotec (Mitla),85A,Order of Adposition and Noun Phrase,2,Prepositions
Zapotec (Yatzachi),85A,Order of Adposition and Noun Phrase,2,Prepositions
Tlapanec,81A,"Order of Subject, Object and Verb",3,VSO
Tlapanec,85A,Order of Adposition and Noun Phrase,2,Prepositions
Kiowa,81A,"Order of Subject, Object and Verb",1,SOV
Kiowa,85A,Order of Adposition and Noun Phrase,5,No adpositions
Tiwa (Northern),81A,"Order of Subject, Object and Verb",7,No dominant order
Paiute (Northern),81A,"Order of Subject, Object and Verb",1,SOV
Mono (in United States),81A,"Order of Subject, Object and Verb",1,SOV
Mono (in United States),85A,Order of Adposition and Noun Phrase,1,Postpositions
Shoshone,81A,"Order of Subject, Object and Verb",1,SOV
Comanche,81A,"Order of Subject, Object and Verb",1,SOV
Comanche,85A,Order of Adposition and Noun Phrase,1,Postpositions
Tümpisa Shoshone,85A,Order of Adposition and Noun Phrase,3,Inpositions
Kawaiisu,81A,"Order of Subject, Object and Verb",7,No dominant order
Ute,81A,"Order of Subject, Object and Verb",7,No dominant order
Ute,85A,Order of Adposition and Noun Phrase,1,Postpositions
Chemehuevi,81A,"Order of Subject, Object and Verb",7,No dominant order
Chemehuevi,85A,Order of Adposition and Noun Phrase,1,Postpositions
Luiseño,81A,"Order of Subject, Object and Verb",7,No dominant order
Luiseño,85A,Order of Adposition and Noun Phrase,1,Postpositions
Cahuilla,81A,"Order of Subject, Object and Verb",1,SOV
Cahuilla,85A,Order of Adposition and Noun Phrase,1,Postpositions
Hopi,81A,"Order of Subject, Object and Verb",1,SOV
Hopi,85A,Order of Adposition and Noun Phrase,1,Postpositions
O'odham,81A,"Order of Subject, Object and Verb",7,No dominant order
O'odham,85A,Order of Adposition and Noun Phrase,4,No dominant order
Nevome,81A,"Order of Subject, Object and Verb",1,SOV
Nevome,85A,Order of Adposition and Noun Phrase,1,Postpositions
Pima Bajo,81A,"Order of Subject, Object and Verb",1,SOV
Tepehuan (Northern),81A,"Order of Subject, Object and Verb",3,VSO
Tepehuan (Northern),85A,Order of Adposition and Noun Phrase,1,Postpositions
Tepehuan (Southeastern),85A,Order of Adposition and Noun Phrase,1,Postpositions
Tarahumara (Western),81A,"Order of Subject, Object and Verb",1,SOV
Tarahumara (Western),85A,Order of Adposition and Noun Phrase,4,No dominant order
Guarijío,81A,"Order of Subject, Object and Verb",7,No dominant order
Guarijío,85A,Order of Adposition and Noun Phrase,1,Postpositions
Yaqui,81A,"Order of Subject, Object and Verb",1,SOV
Yaqui,85A,Order of Adposition and Noun Phrase,1,Postpositions
Eudeve,81A,"Order of Subject, Object and Verb",1,SOV
Eudeve,85A,Order of Adposition and Noun Phrase,1,Postpositions
Pipil,81A,"Order of Subject, Object and Verb",7,No dominant order
Pipil,85A,Order of Adposition and Noun Phrase,2,Prepositions
Nahuatl (Huasteca),81A,"Order of Subject, Object and Verb",3,VSO
Nahuatl (Huasteca),85A,Order of Adposition and Noun Phrase,2,Prepositions
Nahuatl (Michoacán),81A,"Order of Subject, Object and Verb",2,SVO
Nahuatl (Michoacán),85A,Order of Adposition and Noun Phrase,2,Prepositions
Nahuatl (North Puebla),81A,"Order of Subject, Object and Verb",2,SVO
Nahuatl (Tetelcingo),81A,"Order of Subject, Object and Verb",2,SVO
Nahuatl (Tetelcingo),85A,Order of Adposition and Noun Phrase,2,Prepositions
Cora,81A,"Order of Subject, Object and Verb",3,VSO
Cora,85A,Order of Adposition and Noun Phrase,1,Postpositions
Huichol,81A,"Order of Subject, Object and Verb",1,SOV
Purépecha,81A,"Order of Subject, Object and Verb",2,SVO
Purépecha,85A,Order of Adposition and Noun Phrase,4,No dominant order
Timucua,81A,"Order of Subject, Object and Verb",1,SOV
Sanuma,81A,"Order of Subject, Object and Verb",1,SOV
