language,parameter_id,parameter_name,value_number,value_name
Aekyom,81A,"Order of Subject, Object and Verb",1,SOV
Samo,81A,"Order of Subject, Object and Verb",1,SOV
Duna,81A,"Order of Subject, Object and Verb",1,SOV
Tamagario,81A,"Order of Subject, Object and Verb",1,SOV
Manem,81A,"Order of Subject, Object and Verb",1,SOV
Iha,81A,"Order of Subject, Object and Verb",1,SOV
Hup,85A,Order of Adposition and Noun Phrase,1,Postpositions
Balanta,81A,"Order of Subject, Object and Verb",2,SVO
Ndut,81A,"Order of Subject, Object and Verb",2,SVO
Ndut,85A,Order of Adposition and Noun Phrase,2,Prepositions
Berber (Middle Atlas),81A,"Order of Subject, Object and Verb",3,VSO
Berber (Middle Atlas),85A,Order of Adposition and Noun Phrase,2,Prepositions
Taushiro,81A,"Order of Subject, Object and Verb",3,VSO
Taushiro,85A,Order of Adposition and Noun Phrase,1,Postpositions
Jabutí,81A,"Order of Subject, Object and Verb",1,SOV
Jabutí,85A,Order of Adposition and Noun Phrase,1,Postpositions
Wai Wai,81A,"Order of Subject, Object and Verb",7,No dominant order
Wai Wai,85A,Order of Adposition and Noun Phrase,1,Postpositions
Bengali,81A,"Order of Subject, Object and Verb",1,SOV
Assamese,81A,"Order of Subject, Object and Verb",1,SOV
Oriya,81A,"Order of Subject, Object and Verb",1,SOV
Magahi,81A,"Order of Subject, Object and Verb",1,SOV
Magahi,85A,Order of Adposition and Noun Phrase,1,Postpositions
Warekena,81A,"Order of Subject, Object and Verb",2,SVO
Warekena,85A,Order of Adposition and Noun Phrase,2,Prepositions
Toba,81A,"Order of Subject, Object and Verb",7,No dominant order
Baré,81A,"Order of Subject, Object and Verb",2,SVO
Baré,85A,Order of Adposition and Noun Phrase,1,Postpositions
Teribe,81A,"Order of Subject, Object and Verb",1,SOV
Teribe,85A,Order of Adposition and Noun Phrase,1,Postpositions
Guató,81A,"Order of Subject, Object and Verb",3,VSO
Guató,85A,Order of Adposition and Noun Phrase,2,Prepositions
Kipea,81A,"Order of Subject, Object and Verb",4,VOS
Matis,81A,"Order of Subject, Object and Verb",1,SOV
Nadëb,81A,"Order of Subject, Object and Verb",6,OSV
Nadëb,85A,Order of Adposition and Noun Phrase,1,Postpositions
Worora,85A,Order of Adposition and Noun Phrase,1,Postpositions
Karachay-Balkar,81A,"Order of Subject, Object and Verb",1,SOV
Karachay-Balkar,85A,Order of Adposition and Noun Phrase,1,Postpositions
Tobelo,81A,"Order of Subject, Object and Verb",1,SOV
Tobelo,85A,Order of Adposition and Noun Phrase,2,Prepositions
Wyandot,81A,"Order of Subject, Object and Verb",7,No dominant order
Tsafiki,81A,"Order of Subject, Object and Verb",1,SOV
Tsafiki,85A,Order of Adposition and Noun Phrase,1,Postpositions
Zuni,81A,"Order of Subject, Object and Verb",1,SOV
